Host is      : HOST_B
Host type    : DuplexHost
start_tick   : 0

[tick=100] [HOST_B] RX bit=0
[tick=200] [HOST_B] RX bit=1
[tick=300] [HOST_B] RX bit=0
[tick=400] [HOST_B] RX bit=0
[tick=500] [HOST_B] RX bit=0
[tick=600] [HOST_B] RX bit=0
[tick=700] [HOST_B] RX bit=0
[tick=800] [HOST_B] RX bit=1
[tick=900] [HOST_B] RX bit=0
[tick=1000] [HOST_B] RX bit=0
[tick=1100] [HOST_B] RX bit=1
[tick=1200] [HOST_B] RX bit=0
[tick=1300] [HOST_B] RX bit=1
[tick=1400] [HOST_B] RX bit=0
[tick=1500] [HOST_B] RX bit=1
[tick=1600] [HOST_B] RX bit=0
[tick=1600] [HOST_B] RX complete frame=0101010010000010
[tick=1600] [HOST_B] Host Received complete frame: 0101010010000010
[tick=1600] [HOST_B] decoded data: 'H'
[tick=1700] [HOST_B] RX bit=0
[tick=1800] [HOST_B] RX bit=1
[tick=1900] [HOST_B] RX bit=0
[tick=2000] [HOST_B] RX bit=0
[tick=2100] [HOST_B] RX bit=1
[tick=2200] [HOST_B] RX bit=0
[tick=2300] [HOST_B] RX bit=0
[tick=2400] [HOST_B] RX bit=1
[tick=2500] [HOST_B] RX bit=0
[tick=2600] [HOST_B] RX bit=1
[tick=2700] [HOST_B] RX bit=1
[tick=2800] [HOST_B] RX bit=0
[tick=2900] [HOST_B] RX bit=1
[tick=3000] [HOST_B] TX bit=0
[tick=3000] [HOST_B] RX bit=0
[tick=3100] [HOST_B] TX bit=1
[tick=3100] [HOST_B] RX bit=1
[tick=3200] [HOST_B] TX bit=0
[tick=3200] [HOST_B] RX bit=0
[tick=3200] [HOST_B] RX complete frame=0101011010010010
[tick=3200] [HOST_B] Host Received complete frame: 0101011010010010
[tick=3200] [HOST_B] decoded data: 'i'
[tick=3300] [HOST_B] TX bit=0
[tick=3400] [HOST_B] TX bit=0
[tick=3500] [HOST_B] TX bit=0
[tick=3600] [HOST_B] TX bit=0
[tick=3700] [HOST_B] TX bit=1
[tick=3800] [HOST_B] TX bit=0
[tick=3900] [HOST_B] TX bit=0
[tick=4000] [HOST_B] TX bit=1
[tick=4000] [HOST_B] RX bit=0
[tick=4100] [HOST_B] TX bit=0
[tick=4100] [HOST_B] RX bit=1
[tick=4200] [HOST_B] TX bit=1
[tick=4200] [HOST_B] RX bit=0
[tick=4300] [HOST_B] TX bit=0
[tick=4300] [HOST_B] RX bit=0
[tick=4400] [HOST_B] TX bit=1
[tick=4400] [HOST_B] RX bit=0
[tick=4500] [HOST_B] TX bit=0
[tick=4500] [HOST_B] RX bit=0
[tick=4600] [HOST_B] TX bit=0
[tick=4600] [HOST_B] RX bit=0
[tick=4700] [HOST_B] TX bit=1
[tick=4700] [HOST_B] RX bit=1
[tick=4800] [HOST_B] TX bit=0
[tick=4800] [HOST_B] RX bit=0
[tick=4900] [HOST_B] TX bit=0
[tick=4900] [HOST_B] RX bit=0
[tick=5000] [HOST_B] TX bit=1
[tick=5000] [HOST_B] RX bit=1
[tick=5100] [HOST_B] TX bit=0
[tick=5100] [HOST_B] RX bit=0
[tick=5200] [HOST_B] TX bit=1
[tick=5200] [HOST_B] RX bit=1
[tick=5300] [HOST_B] TX bit=0
[tick=5300] [HOST_B] RX bit=0
[tick=5400] [HOST_B] TX bit=0
[tick=5400] [HOST_B] RX bit=1
[tick=5500] [HOST_B] TX bit=1
[tick=5500] [HOST_B] RX bit=0
[tick=5500] [HOST_B] RX complete frame=0101010010000010
[tick=5500] [HOST_B] Host Received complete frame: 0101010010000010
[tick=5500] [HOST_B] decoded data: 'H'
[tick=5600] [HOST_B] TX bit=1
[tick=5600] [HOST_B] RX bit=0
[tick=5700] [HOST_B] TX bit=0
[tick=5700] [HOST_B] RX bit=1
[tick=5800] [HOST_B] TX bit=1
[tick=5800] [HOST_B] RX bit=0
[tick=5900] [HOST_B] TX bit=0
[tick=5900] [HOST_B] RX bit=0
[tick=6000] [HOST_B] TX bit=1
[tick=6000] [HOST_B] RX bit=1
[tick=6100] [HOST_B] TX bit=0
[tick=6100] [HOST_B] RX bit=0
[tick=6200] [HOST_B] TX bit=0
[tick=6200] [HOST_B] RX bit=1
[tick=6300] [HOST_B] TX bit=1
[tick=6300] [HOST_B] RX bit=0
[tick=6400] [HOST_B] TX bit=0
[tick=6400] [HOST_B] RX bit=0
[tick=6500] [HOST_B] TX bit=0
[tick=6500] [HOST_B] RX bit=1
[tick=6600] [HOST_B] TX bit=0
[tick=6600] [HOST_B] RX bit=1
[tick=6700] [HOST_B] TX bit=0
[tick=6700] [HOST_B] RX bit=0
[tick=6800] [HOST_B] TX bit=1
[tick=6800] [HOST_B] RX bit=1
[tick=6900] [HOST_B] TX bit=1
[tick=6900] [HOST_B] RX bit=0
[tick=7000] [HOST_B] TX bit=0
[tick=7000] [HOST_B] RX bit=1
[tick=7100] [HOST_B] TX bit=1
[tick=7100] [HOST_B] RX bit=0
[tick=7100] [HOST_B] RX complete frame=0101011001010010
[tick=7100] [HOST_B] Host Received complete frame: 0101011001010010
[tick=7100] [HOST_B] decoded data: 'e'
[tick=7200] [HOST_B] TX bit=1
[tick=7200] [HOST_B] RX bit=0
[tick=7300] [HOST_B] TX bit=0
[tick=7300] [HOST_B] RX bit=1
[tick=7400] [HOST_B] TX bit=1
[tick=7400] [HOST_B] RX bit=0
[tick=7500] [HOST_B] TX bit=0
[tick=7500] [HOST_B] RX bit=0
[tick=7600] [HOST_B] TX bit=1
[tick=7600] [HOST_B] RX bit=0
[tick=7700] [HOST_B] TX bit=0
[tick=7700] [HOST_B] RX bit=0
[tick=7800] [HOST_B] TX bit=0
[tick=7800] [HOST_B] RX bit=1
[tick=7900] [HOST_B] TX bit=1
[tick=7900] [HOST_B] RX bit=1
[tick=8000] [HOST_B] TX bit=0
[tick=8000] [HOST_B] RX bit=0
[tick=8100] [HOST_B] TX bit=0
[tick=8100] [HOST_B] RX bit=1
[tick=8200] [HOST_B] TX bit=0
[tick=8200] [HOST_B] RX bit=1
[tick=8300] [HOST_B] TX bit=0
[tick=8300] [HOST_B] RX bit=0
[tick=8400] [HOST_B] TX bit=1
[tick=8400] [HOST_B] RX bit=1
[tick=8500] [HOST_B] TX bit=1
[tick=8500] [HOST_B] RX bit=0
[tick=8600] [HOST_B] TX bit=0
[tick=8600] [HOST_B] RX bit=1
[tick=8700] [HOST_B] TX bit=1
[tick=8700] [HOST_B] RX bit=0
[tick=8700] [HOST_B] RX complete frame=0101011011000010
[tick=8700] [HOST_B] Host Received complete frame: 0101011011000010
[tick=8700] [HOST_B] decoded data: 'l'
[tick=8800] [HOST_B] TX bit=1
[tick=8800] [HOST_B] RX bit=0
[tick=8900] [HOST_B] TX bit=0
[tick=8900] [HOST_B] RX bit=1
[tick=9000] [HOST_B] TX bit=1
[tick=9000] [HOST_B] RX bit=0
[tick=9100] [HOST_B] TX bit=0
[tick=9100] [HOST_B] RX bit=0
[tick=9200] [HOST_B] TX bit=1
[tick=9200] [HOST_B] RX bit=0
[tick=9300] [HOST_B] TX bit=0
[tick=9300] [HOST_B] RX bit=0
[tick=9400] [HOST_B] TX bit=0
[tick=9400] [HOST_B] RX bit=1
[tick=9500] [HOST_B] TX bit=1
[tick=9500] [HOST_B] RX bit=1
[tick=9600] [HOST_B] TX bit=0
[tick=9600] [HOST_B] RX bit=0
[tick=9700] [HOST_B] TX bit=0
[tick=9700] [HOST_B] RX bit=1
[tick=9800] [HOST_B] TX bit=1
[tick=9800] [HOST_B] RX bit=1
[tick=9900] [HOST_B] TX bit=1
[tick=9900] [HOST_B] RX bit=0
[tick=10000] [HOST_B] TX bit=1
[tick=10000] [HOST_B] RX bit=1
[tick=10100] [HOST_B] TX bit=1
[tick=10100] [HOST_B] RX bit=0
[tick=10200] [HOST_B] TX bit=0
[tick=10200] [HOST_B] RX bit=1
[tick=10300] [HOST_B] TX bit=1
[tick=10300] [HOST_B] RX bit=0
[tick=10300] [HOST_B] RX complete frame=0101011011000010
[tick=10300] [HOST_B] Host Received complete frame: 0101011011000010
[tick=10300] [HOST_B] decoded data: 'l'
[tick=10400] [HOST_B] TX bit=1
[tick=10400] [HOST_B] RX bit=0
[tick=10500] [HOST_B] TX bit=0
[tick=10500] [HOST_B] RX bit=1
[tick=10600] [HOST_B] TX bit=1
[tick=10600] [HOST_B] RX bit=0
[tick=10700] [HOST_B] TX bit=0
[tick=10700] [HOST_B] RX bit=0
[tick=10800] [HOST_B] TX bit=1
[tick=10800] [HOST_B] RX bit=1
[tick=10900] [HOST_B] TX bit=0
[tick=10900] [HOST_B] RX bit=1
[tick=11000] [HOST_B] TX bit=0
[tick=11000] [HOST_B] RX bit=1
[tick=11100] [HOST_B] TX bit=1
[tick=11100] [HOST_B] RX bit=1
[tick=11200] [HOST_B] TX bit=0
[tick=11200] [HOST_B] RX bit=0
[tick=11300] [HOST_B] TX bit=0
[tick=11300] [HOST_B] RX bit=1
[tick=11400] [HOST_B] TX bit=0
[tick=11400] [HOST_B] RX bit=1
[tick=11500] [HOST_B] TX bit=0
[tick=11500] [HOST_B] RX bit=0
[tick=11600] [HOST_B] TX bit=0
[tick=11600] [HOST_B] RX bit=1
[tick=11700] [HOST_B] TX bit=1
[tick=11700] [HOST_B] RX bit=0
[tick=11800] [HOST_B] TX bit=0
[tick=11800] [HOST_B] RX bit=1
[tick=11900] [HOST_B] TX bit=0
[tick=11900] [HOST_B] RX bit=0
[tick=11900] [HOST_B] RX complete frame=0101011011110010
[tick=11900] [HOST_B] Host Received complete frame: 0101011011110010
[tick=11900] [HOST_B] decoded data: 'o'
[tick=12000] [HOST_B] TX bit=1
[tick=12000] [HOST_B] RX bit=0
[tick=12100] [HOST_B] TX bit=0
[tick=12100] [HOST_B] RX bit=1
[tick=12200] [HOST_B] TX bit=1
[tick=12200] [HOST_B] RX bit=0
[tick=12300] [HOST_B] TX bit=0
[tick=12300] [HOST_B] RX bit=0
[tick=12400] [HOST_B] TX bit=1
[tick=12400] [HOST_B] RX bit=1
[tick=12500] [HOST_B] TX bit=0
[tick=12500] [HOST_B] RX bit=0
[tick=12600] [HOST_B] TX bit=0
[tick=12600] [HOST_B] RX bit=0
[tick=12700] [HOST_B] TX bit=1
[tick=12700] [HOST_B] RX bit=0
[tick=12800] [HOST_B] TX bit=0
[tick=12800] [HOST_B] RX bit=0
[tick=12900] [HOST_B] TX bit=0
[tick=12900] [HOST_B] RX bit=0
[tick=13000] [HOST_B] TX bit=1
[tick=13000] [HOST_B] RX bit=1
[tick=13100] [HOST_B] TX bit=0
[tick=13100] [HOST_B] RX bit=0
[tick=13200] [HOST_B] TX bit=0
[tick=13200] [HOST_B] RX bit=1
[tick=13300] [HOST_B] TX bit=1
[tick=13300] [HOST_B] RX bit=0
[tick=13400] [HOST_B] TX bit=0
[tick=13400] [HOST_B] RX bit=1
[tick=13500] [HOST_B] TX bit=1
[tick=13500] [HOST_B] RX bit=0
[tick=13500] [HOST_B] RX complete frame=0101010000010010
[tick=13500] [HOST_B] Host Received complete frame: 0101010000010010
[tick=13500] [HOST_B] decoded data: 'A'
[tick=13600] [HOST_B] TX bit=1
[tick=13600] [HOST_B] RX bit=0
[tick=13700] [HOST_B] TX bit=0
[tick=13700] [HOST_B] RX bit=1
[tick=13800] [HOST_B] TX bit=1
[tick=13800] [HOST_B] RX bit=0
[tick=13900] [HOST_B] TX bit=0
[tick=13900] [HOST_B] RX bit=0
[tick=14000] [HOST_B] TX bit=1
[tick=14000] [HOST_B] RX bit=1
[tick=14100] [HOST_B] TX bit=0
[tick=14100] [HOST_B] RX bit=1
[tick=14200] [HOST_B] TX bit=0
[tick=14200] [HOST_B] RX bit=0
[tick=14300] [HOST_B] TX bit=1
[tick=14300] [HOST_B] RX bit=0
[tick=14400] [HOST_B] TX bit=0
[tick=14400] [HOST_B] RX bit=1
[tick=14500] [HOST_B] TX bit=0
[tick=14500] [HOST_B] RX bit=1
[tick=14600] [HOST_B] TX bit=0
[tick=14600] [HOST_B] RX bit=0
[tick=14700] [HOST_B] TX bit=1
[tick=14700] [HOST_B] RX bit=0
[tick=14800] [HOST_B] TX bit=0
[tick=14800] [HOST_B] RX bit=1
[tick=14900] [HOST_B] TX bit=0
[tick=14900] [HOST_B] RX bit=0
[tick=15000] [HOST_B] TX bit=0
[tick=15000] [HOST_B] RX bit=1
[tick=15100] [HOST_B] TX bit=0
[tick=15100] [HOST_B] RX bit=0
[tick=15100] [HOST_B] RX complete frame=0101001100110010
[tick=15100] [HOST_B] Host Received complete frame: 0101001100110010
[tick=15100] [HOST_B] decoded data: '3'
[tick=15200] [HOST_B] TX bit=1
[tick=15300] [HOST_B] TX bit=0
[tick=15400] [HOST_B] TX bit=1
[tick=15500] [HOST_B] TX bit=0
[tick=15600] [HOST_B] TX bit=1
[tick=15700] [HOST_B] TX bit=0
[tick=15800] [HOST_B] TX bit=0
[tick=15900] [HOST_B] TX bit=1
[tick=16000] [HOST_B] TX bit=0
[tick=16100] [HOST_B] TX bit=0
[tick=16200] [HOST_B] TX bit=1
[tick=16300] [HOST_B] TX bit=1
[tick=16400] [HOST_B] TX bit=0
[tick=16500] [HOST_B] TX bit=0
[tick=16600] [HOST_B] TX bit=1
[tick=16700] [HOST_B] TX bit=1
[tick=16800] [HOST_B] TX bit=0
[tick=16900] [HOST_B] TX bit=0
[tick=17000] [HOST_B] TX bit=1
[tick=17100] [HOST_B] TX bit=0
[tick=17200] [HOST_B] TX bit=1
[tick=17300] [HOST_B] TX bit=0
[tick=25000] [HOST_B] RX bit=0
[tick=25100] [HOST_B] RX bit=1
[tick=25200] [HOST_B] RX bit=0
[tick=25300] [HOST_B] RX bit=0
[tick=25400] [HOST_B] RX bit=1
[tick=25500] [HOST_B] RX bit=0
[tick=25600] [HOST_B] RX bit=0
[tick=25700] [HOST_B] RX bit=0
[tick=25800] [HOST_B] RX bit=0
[tick=25900] [HOST_B] RX bit=0
[tick=26000] [HOST_B] RX bit=1
[tick=26100] [HOST_B] RX bit=0
[tick=26200] [HOST_B] RX bit=1
[tick=26300] [HOST_B] RX bit=0
[tick=26400] [HOST_B] RX bit=1
[tick=26500] [HOST_B] RX bit=0
[tick=26500] [HOST_B] RX complete frame=0101010000010010
[tick=26500] [HOST_B] Host Received complete frame: 0101010000010010
[tick=26500] [HOST_B] decoded data: 'A'
[tick=26600] [HOST_B] RX bit=0
[tick=26700] [HOST_B] RX bit=1
[tick=26800] [HOST_B] RX bit=0
[tick=26900] [HOST_B] RX bit=1
[tick=27000] [HOST_B] RX bit=0
[tick=27100] [HOST_B] RX bit=0
[tick=27200] [HOST_B] RX bit=1
[tick=27300] [HOST_B] RX bit=0
[tick=27400] [HOST_B] RX bit=1
[tick=27500] [HOST_B] RX bit=1
[tick=27600] [HOST_B] RX bit=0
[tick=27700] [HOST_B] RX bit=0
[tick=27800] [HOST_B] RX bit=1
[tick=27900] [HOST_B] RX bit=0
[tick=28000] [HOST_B] RX bit=1
[tick=28100] [HOST_B] RX bit=0
[tick=28100] [HOST_B] RX complete frame=0101001101001010
[tick=28100] [HOST_B] Host Received complete frame: 0101001101001010
[tick=28100] [HOST_B] decoded data: '4'
[tick=1000000] [HOST_B] received data (separate): ['H', 'i', 'H', 'e', 'l', 'l', 'o', 'A', '3', 'A', '4']
[tick=1000000] [HOST_B] received data (joined): 'HiHelloA3A4'
