Host is      : HOST_A
Host type    : DuplexHost
start_tick   : 0

[tick=100] [HOST_A] TX bit=0
[tick=200] [HOST_A] TX bit=1
[tick=300] [HOST_A] TX bit=0
[tick=400] [HOST_A] TX bit=0
[tick=500] [HOST_A] TX bit=1
[tick=600] [HOST_A] TX bit=0
[tick=700] [HOST_A] TX bit=0
[tick=800] [HOST_A] TX bit=0
[tick=900] [HOST_A] TX bit=0
[tick=1000] [HOST_A] TX bit=0
[tick=1100] [HOST_A] TX bit=1
[tick=1200] [HOST_A] TX bit=0
[tick=1300] [HOST_A] TX bit=1
[tick=1400] [HOST_A] TX bit=0
[tick=1500] [HOST_A] TX bit=1
[tick=1600] [HOST_A] TX bit=0
[tick=1800] [HOST_A] TX bit=0
[tick=1900] [HOST_A] TX bit=1
[tick=2000] [HOST_A] TX bit=0
[tick=2100] [HOST_A] TX bit=1
[tick=2200] [HOST_A] TX bit=0
[tick=2300] [HOST_A] TX bit=1
[tick=2400] [HOST_A] TX bit=1
[tick=2500] [HOST_A] TX bit=1
[tick=2600] [HOST_A] TX bit=0
[tick=2700] [HOST_A] TX bit=1
[tick=2800] [HOST_A] TX bit=1
[tick=2900] [HOST_A] TX bit=0
[tick=3000] [HOST_A] TX bit=1
[tick=3100] [HOST_A] TX bit=0
[tick=3200] [HOST_A] TX bit=1
[tick=3300] [HOST_A] TX bit=0
